"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13341","Курсы. Переход из тренажера учителя (авторизованный) в тренажер ученика (присоединен)","default","Sat Feb 28 15:31:18 UTC 2026","failed","Sat Feb 28 15:31:32 UTC 2026","Tests Course Educonts","","",""
"","16690","Задание. Перейти под одним токеном в разные типы урока (ученик присоединен)","default","Sat Feb 28 15:34:56 UTC 2026","passed","Sat Feb 28 15:35:13 UTC 2026","Tests Tasks Educonts- student","","",""
"","18382","Подготовка аккаунтов Родителей к тестам","default","Sat Feb 28 15:18:25 UTC 2026","passed","Sat Feb 28 15:18:43 UTC 2026","Preparations","","",""
"","12408","Курс. Решение задания с типом Вопрос (введен код от учителя)","default","Sat Feb 28 15:33:25 UTC 2026","passed","Sat Feb 28 15:33:37 UTC 2026","Tests Course Educonts- student","","",""
"","23386","Покупка Предмета со счёта кошелька","default","Sat Feb 28 15:23:38 UTC 2026","failed","Sat Feb 28 15:24:01 UTC 2026","Tests Parent Shop Page","","",""
"","16849","Переход из каталога родителя в раннер ученика","default","Sat Feb 28 15:22:45 UTC 2026","passed","Sat Feb 28 15:23:02 UTC 2026","Tests Parent Catalog Tasks","","",""
"","13460","Покупка Предмета по карте","default","Sat Feb 28 15:24:47 UTC 2026","failed","Sat Feb 28 15:25:01 UTC 2026","Tests Indep Student Shop Page","","",""
"","12506","Выбор фильтров","default","Sat Feb 28 15:23:58 UTC 2026","passed","Sat Feb 28 15:24:10 UTC 2026","Tests Indep Student Catalog Tasks","","",""
"","15830","Задание. Смена задания не авторизованным учителем","default","Sat Feb 28 15:29:16 UTC 2026","passed","Sat Feb 28 15:29:32 UTC 2026","Tests Tasks Educonts","","",""
"","50412","Категория. Новый учитель. Авторизоваться по данным эдуконт(логин/пароль)","default","Sat Feb 28 15:31:45 UTC 2026","broken","Sat Feb 28 15:32:36 UTC 2026","Tests Category Educonts","","",""
"","9868","Задание. Сохранение авторизации при удалении токенов из Cookie","default","Sat Feb 28 15:34:58 UTC 2026","passed","Sat Feb 28 15:35:08 UTC 2026","Tests Tasks Educonts- student","","",""
"","6030","Открытие раздела курса: 1 класс. Русский язык (систематический курс)","default","Sat Feb 28 15:28:00 UTC 2026","passed","Sat Feb 28 15:28:06 UTC 2026","Tests Tasks Educonts","","",""
"","6252","Категории. Войти в тренажер по ссылке (ученик не присоединен к классу)","default","Sat Feb 28 15:35:33 UTC 2026","passed","Sat Feb 28 15:35:39 UTC 2026","Tests Category Educonts- student","","",""
"","9428","Задание. Использовать черновик (ученик присоединен по коду)","default","Sat Feb 28 15:34:33 UTC 2026","passed","Sat Feb 28 15:34:42 UTC 2026","Tests Tasks Educonts- student","","",""
"","10062","Курс. Сохранение авторизации при удалении токенов из Cookie. Демо","default","Sat Feb 28 15:31:08 UTC 2026","passed","Sat Feb 28 15:31:18 UTC 2026","Tests Course Educonts","","",""
"","50158","Задания. Переход из тренажера ученика (присоединен) в тренажер учителя (авторизован)","default","Sat Feb 28 15:35:25 UTC 2026","broken","Sat Feb 28 15:36:15 UTC 2026","Tests Tasks Educonts- student","","",""
